Rk,School,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm Points,Opp Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
28,Bowling Green State,34,20,14,0.588,-4.93,-5.52,10,8,12,5,5,7,73.6,71,40.7,25.9,60.1,0.431,6.35,21.5,0.296,15.4,21.5,0.715,11.4,38,11.3,6.5,2.82,11.5,15.7
29,Bradley,35,23,12,0.657,9.48,2.96,13,7,14,3,6,7,74.1,67.1,40.4,26.9,57.1,0.472,8.74,23.9,0.366,11.4,15.7,0.727,9.26,34.7,13.2,7.14,4.11,12.1,16.5
30,Brigham Young NCAA,34,23,11,0.676,19.33,7.86,10,8,16,2,3,7,81.4,69.9,40,29.2,63.4,0.46,11.1,32,0.348,11.9,16.1,0.742,11.9,39.5,18.5,5.94,2.97,10.7,17.7
31,Brown,31,13,18,0.419,-3.6,-1.73,8,6,5,7,6,8,71.4,71.8,40.7,25.2,58.6,0.43,8.19,24,0.341,12.7,19.5,0.653,11.8,37.2,13.5,6.32,4.23,12.4,16.7
32,Bryant,33,20,13,0.606,-3.06,-3.54,11,5,11,3,8,10,78.7,75.4,40.3,28.9,63.2,0.457,8.27,24.4,0.339,12.6,18.9,0.669,7.85,37.8,14.8,6.97,6.45,11.9,16.9
33,Bucknell,33,14,19,0.424,-8.33,-6.39,10,8,6,8,8,11,65.2,67.2,40.5,23,53.6,0.428,8.15,24.1,0.338,11.2,15.6,0.716,8.36,32.5,12.1,6.12,3.42,12.3,16.9
34,Buffalo,31,4,27,0.129,-15.12,-2.82,2,16,2,13,2,11,68,79.7,40.2,24.8,59,0.421,6.68,24.1,0.277,11.6,16.3,0.716,10.4,34.9,13.4,6.06,4.55,14.5,15.6
35,Butler,33,18,15,0.545,12.18,9.49,9,11,12,6,4,7,77.1,73.7,40.9,27.9,61.7,0.453,8.36,23.6,0.355,12.8,16.2,0.791,9.33,35.2,15.1,6.18,3.33,10.9,13.8
36,Cal Poly,32,4,28,0.125,-13.64,-2.28,0,20,3,11,0,16,63.7,74.1,40.5,22.5,55.6,0.404,6.19,18.7,0.331,12.5,17.8,0.705,8.84,31.3,9.81,5.41,3.66,12.7,19.2
37,Cal State Bakersfield,32,13,19,0.406,-5.37,-2.17,8,12,10,4,2,13,68.7,69.2,40.5,25.2,58.2,0.434,4.69,14.9,0.315,13.6,18.8,0.723,11.9,34.7,10.5,6.88,3.56,12.2,20.4
